#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:dna" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:dna" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:dna" name="distribution" x="@birthRate.t:dna">
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.05" name="M" spec="beast.core.parameter.RealParameter">5.5</parameter>
#                <parameter estimate="false" id="RealParameter.06" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="5.0">0.048</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.math.distributions.Dirichlet">
#                <parameter dimension="4" id="RealParameter.011" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:dna" name="distribution">
#            <parameter id="ucldStdev.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.07" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.08" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	rateCategories.1	rateCategories.2	rateCategories.3	rateCategories.4	rateCategories.5	rateCategories.6	rateCategories.7	rateCategories.8	rateCategories.9	rateCategories.10	rateCategories.11	rateCategories.12	rateCategories.13	rateCategories.14	rateCategories.15	rateCategories.16	rateCategories.17	rateCategories.18	rateCategories.19	rateCategories.20	rateCategories.21	rateCategories.22	rateCategories.23	rateCategories.24	rateCategories.25	rateCategories.26	rateCategories.27	rateCategories.28	rateCategories.29	rateCategories.30	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
2000000	13.033277907544242	NaN	13.033277907544242	NaN	0.26206904216534427	13.385515618880113	5.480459225088322	0.5612122904468082	0.9987773742290316	0.049344348352919835	0.22431976829813494	3	26	12	73	39	58	78	27	6	35	27	77	20	70	16	73	2	97	90	84	19	19	93	8	86	61	33	59	99	82	1.3512137696513613	0.11937088101106771	0.14929676833498556	0.2100387445973158	0.52129360605663
2100000	7.580296063741271	NaN	7.580296063741271	NaN	0.5905854272466797	9.658128933033957	5.424464246206435	0.009746006561107625	1.0930787232530257	0.06168357484088791	0.2425979918792934	8	51	51	15	18	74	95	54	39	25	96	73	52	39	10	51	61	19	16	74	86	85	11	44	57	98	40	26	44	43	54.8412493207309	0.28835813535442134	0.24724756689664815	0.13254491597052598	0.3318493817784036
2200000	8.214826854067017	NaN	8.214826854067017	NaN	0.5272992615111763	9.632820218478933	5.668479925579665	0.00942261813573299	0.9912576731546107	0.0471724408405602	0.2095699004315171	43	60	79	54	65	82	83	97	16	47	49	84	73	73	60	6	64	5	49	97	67	27	35	63	98	81	61	58	69	60	31.285177754592564	0.12918931584755097	0.1488429457995974	0.3538744269529606	0.36809331139989004
2300000	8.793870885003486	NaN	8.793870885003486	NaN	0.5703046549951568	10.627617973246409	5.3211824638035985	1.1244329871322594	0.9918616177217265	0.04963645556388398	0.22597885620401523	69	74	25	74	60	85	49	6	5	99	10	55	11	14	67	57	25	58	52	12	88	3	42	99	20	64	91	45	93	3	0.24934873112278355	0.20373997101561248	0.40439395944571355	0.09313953952569659	0.29872653001297633
2400000	19.628647993082044	NaN	19.628647993082044	NaN	0.2926581625515357	15.409386068093315	5.40503522882383	7.998572528113719E-4	0.9265882101449087	0.025478843395787456	0.16675964708818708	23	53	71	69	46	9	69	13	12	61	52	6	82	38	29	58	69	39	75	67	84	54	78	51	0	59	23	22	27	84	7.340323971707129	0.21696129984150211	0.2698735894892298	0.29310675738589154	0.22005835328337556
2500000	11.791390177686889	NaN	11.791390177686889	NaN	0.3480532990981471	11.137945183931233	5.334043773579314	0.40572492896244283	1.0147763909313197	0.058830939721064596	0.23903470478465938	97	31	45	70	83	75	85	23	18	3	36	36	85	55	91	59	0	98	57	2	14	14	76	76	76	11	85	12	16	56	3.503535286162815	0.40612448644735166	0.2069812110159305	0.18479321400807835	0.20210108852863853
2600000	15.940896857608324	NaN	15.940896857608324	NaN	0.36572207623029396	14.787938486696373	5.57687931046268	0.14595704539763743	0.9665901254020537	0.06182220617006188	0.23988709189054014	89	78	17	1	80	57	21	26	26	9	92	45	69	85	86	44	34	98	24	52	34	47	99	83	49	62	45	52	73	20	7.294098599605637	0.15882868342931838	0.2929135747692281	0.2407319615255547	0.30752578027589805
2700000	7.514381799628885	NaN	7.514381799628885	NaN	0.5674381823318951	7.5891641882017185	5.327048814791201	0.19138856912306662	0.9494225122812677	0.0272874167328656	0.17567159427811924	9	5	71	65	94	76	22	57	19	2	58	49	60	4	0	59	44	77	73	24	15	72	16	37	2	10	13	18	31	11	1.1275528001986246	0.17519391455360306	0.37797704643522045	0.05169202799287019	0.39513701101830545
2800000	12.46327267092024	NaN	12.46327267092024	NaN	0.38016977985708184	10.737327552128525	5.194472675552341	0.27910281631725814	0.9597390139076348	0.04024345144618999	0.20218126616146176	57	13	26	87	92	89	62	31	81	0	87	10	60	4	48	5	83	51	43	45	20	89	30	37	93	68	2	27	55	21	1.412820842730688	0.28374384930422586	0.3166537161154209	0.24496764440096314	0.15463479017938925
2900000	5.969448534404199	NaN	5.969448534404199	NaN	0.46092928640322783	7.33132584841271	5.338504473519115	1.1083038642491683	1.0356593927329176	0.04521283762601343	0.21668850867953196	10	76	81	93	23	8	62	16	0	94	47	44	67	67	6	61	59	47	80	20	10	18	72	97	35	70	1	44	78	15	0.5702747900565442	0.13844750819421994	0.4745777170849474	0.16950342066190316	0.2174713540589287
